Case,Time,Value,model_bound,real_bound,model_gap,real_gap,relative_gap
c0848_3,0.5701093,800.0,800.0,800.0,0.0,0.0,0.0
b05200,3.7778854,3552.0,3552.0,3552.0,0.0,0.0,0.0
c0832_4,0.1277981,516.0,516.0,516.0,0.0,0.0,0.0
d10400,6.6266628,25003.0,24958.0,24959.0,45.0,44.0,0.00179978402591689
c0824_1,0.1220536,402.9999999999998,402.9999999999998,403.0,0.0,-2.2737367544323206e-13,0.0
c1030_1,0.1895808,482.0,482.0,482.0,0.0,0.0,0.0
c1050_4,0.4945328,578.0,578.0,578.0,0.0,0.0,0.0
e40400,7.1912137,45592.0,44556.0,44560.0,1036.0,1032.0,0.0227232847868047
c0515_2,0.0816809,269.0,269.0,269.0,0.0,0.0,0.0
c1040_1,0.4105018,637.9999999999999,637.9999999999999,638.0,0.0,-1.1368683772161603e-13,0.0
c401600,34.5279583,47309.0,17143.0,17144.0,30166.0,30165.0,0.6376376587964235
c0525_4,0.1653805,430.0,430.0,430.0,0.0,0.0,0.0
c0824_4,0.0995179,384.0,384.0,384.0,0.0,0.0,0.0
c0840_3,0.3205776,661.9999999999952,661.9999999999952,662.0,0.0,-4.774847184307873e-12,0.0
e801600,51.9546227,525460.0,176817.0,176816.0,348643.0,348644.0,0.6635005518973851
d40400,7.0594594,24745.0,24348.0,24350.0,397.0,395.0,0.016043645180844616
d60900,16.1213977,63526.0,54551.000000000095,54551.0,8974.999999999905,8975.0,0.14128073544690214
e20200,5.5791067,22448.0,22377.0,22378.0,71.0,70.0,0.003162865288667142
c20100,3.5122061,1243.0000000000002,1243.0000000000002,1243.0,0.0,2.2737367544323206e-13,0.0
c10200,5.3335891,2807.0,2804.0,2806.0,3.0,1.0,0.0010687566797292483
d10100,5.1808364,6389.999999999898,6334.0,6345.0,55.99999999989814,44.99999999989814,0.008763693270719722
c05100,0.849616,1931.0,1931.0,1931.0,0.0,0.0,0.0
a05200,1.6166433,3235.0,3235.0,3235.0,0.0,0.0,0.0
c20200,5.9232795,2394.0000000000064,2390.0,2391.0,4.0000000000063665,3.0000000000063665,0.001670843776109589
e20100,5.339528,8518.999999999995,8428.0,8436.0,90.99999999999454,82.99999999999454,0.010682004930155488
c1050_5,0.3215562,581.0,581.0,581.0,0.0,0.0,0.0
a20100,0.339672,1158.0,1158.0,1158.0,0.0,0.0,0.0
c201600,14.0173808,47799.0,18801.0,18802.0,28998.0,28997.0,0.6066654114102805
c30900,14.8900486,18230.0,9981.0,9982.0,8249.0,8248.0,0.45249588590235873
d10200,5.2892053,12461.0,12423.0,12426.0,38.0,35.0,0.0030495144851938045
c0515_3,0.0771235,256.0,256.0,256.0,0.0,0.0,0.0
c1050_1,0.1813687,573.0,573.0,573.0,0.0,0.0,0.0
c10100,2.7926589,1402.0000000000819,1402.0000000000819,1402.0,0.0,8.185452315956354e-11,0.0
c1030_3,0.4133385,496.0,496.0,496.0,0.0,0.0,0.0
e10200,5.2852861,23331.0,23302.0,23305.0,29.0,26.0,0.001242981441001243
b05100,0.9537978,1843.0,1843.0,1843.0,0.0,0.0,0.0
c0515_1,0.0599278,261.0,261.0,261.0,0.0,0.0,0.0
c0848_5,0.2740512,792.0,792.0,792.0,0.0,0.0,0.0
b20200,1.8020441,2339.0,2339.0,2339.0,0.0,0.0,0.0
c1040_5,0.2440671,638.999999999972,638.999999999972,639.0,0.0,-2.7966962079517543e-11,0.0
c0520_3,0.0825735,260.0,260.0,260.0,0.0,0.0,0.0
c1040_4,0.4044534,635.0,635.0,635.0,0.0,0.0,0.0
